#{"t_start": 1771773700.512724, "env_id": "None"}
r,l,t
-145.466877,50,6216.114625
-126.493011,45,6227.828351
-133.340773,25,6234.494056
-123.781802,64,6246.709249
-142.378783,34,6252.859245
-132.831579,38,6260.547944
-123.001199,72,6277.425574
151.821944,97,6298.798081
163.808914,64,6311.90699
146.170029,51,6322.043447
-142.77291,31,6327.515785
-121.379376,110,6351.797515
131.702994,39,6358.507731
-161.044434,76,6369.713304
133.325605,35,6376.64869
155.850542,48,6387.533756
138.217155,37,6393.673287
138.120591,38,6400.352098
154.509063,51,6410.094811
158.200115,61,6421.331536
162.281243,63,6435.533655
-136.117589,25,6441.00256
141.600647,39,6448.186856
-135.328775,79,6465.749911
151.844377,72,6480.557073
-167.30715,21,6486.385314
-168.045352,15,6489.040666
146.633382,62,6501.381723
-176.263091,23,6504.643386
147.845034,50,6513.157305
-133.243468,56,6528.471473
-133.723054,30,6534.832662
-140.885774,48,6549.905209
147.622264,65,6560.835782
-127.882249,37,6567.393147
133.628348,32,6572.698184
139.728632,80,6588.300355
-133.46122,36,6595.765053
137.217288,34,6602.29243
158.698375,110,6632.645128
135.144198,39,6640.348875
155.855807,54,6651.901786
-141.03027,28,6657.595724
-83.691718,110,6681.241617
-138.919507,35,6691.257207
-95.822301,161,6719.695511
135.39856,37,6726.835659
-154.853918,34,6737.070994
147.169909,64,6750.292185
-126.890331,28,6756.196954
137.821674,51,6766.91596
158.038731,49,6777.248932
171.023261,89,6796.370318
144.066913,40,6804.134764
-137.666386,27,6810.273592
175.362392,98,6829.167882
137.917912,34,6835.435567
176.131621,63,6847.27452
-126.258284,67,6862.794797
137.813231,39,6870.027796
-95.780637,321,6927.252042
153.396765,46,6935.42525
141.06621,43,6943.104803
166.000576,101,6966.174351
-173.289473,92,6980.957678
158.55147,53,6990.341731
131.83286,39,6997.7304
134.778014,34,7004.279084
173.398287,66,7016.511208
131.754404,32,7022.714298
135.218858,32,7029.203899
159.130695,50,7037.855245
-125.135774,42,7045.949613
147.228668,59,7058.195687
-124.053306,142,7090.26102
176.729947,65,7103.332544
-142.614101,53,7118.303829
136.496834,41,7125.914028
149.171903,54,7136.084919
139.048703,43,7143.289451
136.73213,35,7150.16185
-124.121926,66,7171.521574
-88.090798,182,7211.213548
-141.009061,20,7214.833786
148.893956,68,7226.602973
-120.587852,93,7241.876354
-152.942848,53,7251.200177
146.679414,46,7260.229656
-119.97736,54,7281.123405
-126.113025,67,7298.036212
180.78838,94,7315.539144
-111.351965,179,7358.656748
-145.946667,36,7369.978652
-149.767792,135,7394.369955
129.649624,48,7403.837657
164.689909,57,7415.405733
-147.226233,39,7422.206691
-125.085321,67,7444.866299
157.065429,55,7456.448276
171.197374,133,7488.552943
150.475068,49,7498.877873
-130.616525,70,7510.074181
134.254084,34,7516.925236
-140.262729,25,7521.286619
-143.149152,87,7536.913008
-122.592628,48,7547.418624
139.46942,42,7555.34517
164.142591,56,7565.39396
-150.407691,33,7574.862433
140.267998,72,7588.21096
-128.470429,54,7603.190205
-133.996926,30,7608.326223
146.468461,58,7619.5864
-142.880243,39,7628.080816
-141.592899,24,7633.469259
-140.789511,25,7637.731807
151.103675,138,7662.026409
154.302309,47,7671.321723
-129.068174,55,7685.052466
141.188803,60,7696.489449
134.734818,34,7702.10349
-131.428998,96,7720.859955
146.89964,42,7728.199865
-129.335137,45,7745.222243
177.525293,64,7756.493634
-119.005692,36,7764.015456
-134.574176,28,7769.381574
130.986868,41,7776.137647
-153.77441,44,7784.231741
-114.088168,64,7802.398478
-123.61688,61,7818.475172
-138.357269,68,7834.020636
-131.56895,61,7847.373221
-136.229288,25,7851.52781
137.855907,40,7859.06651
139.844305,40,7866.689317
-156.439478,32,7875.19602
152.013271,46,7883.742426
-146.546535,21,7887.277478
-134.949213,31,7894.215021
142.366442,41,7901.983395
133.931481,39,7909.835186
-141.110933,18,7912.653241
-141.596142,22,7916.672476
-118.143947,49,7926.246027
164.61876,65,7939.589421
-111.433186,59,7952.124249
